DATE,CSUSHPISA
2/1/2008,171.542
3/1/2008,170.053
4/1/2008,168.338
5/1/2008,166.659
6/1/2008,165.019
7/1/2008,163.57
8/1/2008,161.991
9/1/2008,160.311
10/1/2008,158.329
11/1/2008,156.142
12/1/2008,153.618
1/1/2009,151.504
2/1/2009,150.011
3/1/2009,148.657
4/1/2009,147.947
5/1/2009,147.693
6/1/2009,148.088
7/1/2009,148.409
8/1/2009,148.275
9/1/2009,148.023
10/1/2009,147.849
11/1/2009,148.135
12/1/2009,147.929
1/1/2010,147.395
2/1/2010,145.63
3/1/2010,145.858
4/1/2010,146.401
5/1/2010,146.392
6/1/2010,145.719
7/1/2010,144.989
8/1/2010,143.912
9/1/2010,143.015
10/1/2010,142.527
11/1/2010,142.172
12/1/2010,142.064
1/1/2011,141.528
2/1/2011,140.358
3/1/2011,139.986
4/1/2011,140.011
5/1/2011,139.904
6/1/2011,139.861
7/1/2011,139.732
8/1/2011,139.309
9/1/2011,138.669
10/1/2011,137.953
11/1/2011,137.152
12/1/2011,136.674
1/1/2012,136.608
2/1/2012,136.534
3/1/2012,137.908
4/1/2012,139.16
5/1/2012,140.16
6/1/2012,141.034
7/1/2012,141.673
8/1/2012,142.282
9/1/2012,142.911
10/1/2012,143.603
11/1/2012,144.586
12/1/2012,145.502
1/1/2013,146.835
2/1/2013,147.784
3/1/2013,149.966
4/1/2013,151.525
5/1/2013,152.861
6/1/2013,154.207
7/1/2013,155.617
8/1/2013,156.98
9/1/2013,158.239
10/1/2013,159.252
11/1/2013,160.082
12/1/2013,161.001
1/1/2014,161.948
2/1/2014,162.533
3/1/2014,163.097
4/1/2014,163.407
5/1/2014,163.674
6/1/2014,164.068
7/1/2014,164.587
8/1/2014,165.224
9/1/2014,165.918
10/1/2014,166.655
11/1/2014,167.348
12/1/2014,168.066
1/1/2015,168.67
2/1/2015,169.154
3/1/2015,169.83
4/1/2015,170.328
5/1/2015,170.907
6/1/2015,171.485
7/1/2015,172.158
8/1/2015,172.961
9/1/2015,173.856
10/1/2015,174.819
11/1/2015,175.761
12/1/2015,176.557
1/1/2016,177.292
2/1/2016,177.661
3/1/2016,178.194
4/1/2016,178.814
5/1/2016,179.484
6/1/2016,180.135
7/1/2016,180.895
8/1/2016,181.905
9/1/2016,182.872
10/1/2016,183.782
11/1/2016,184.761
12/1/2016,185.692
1/1/2017,186.78
2/1/2017,187.306
3/1/2017,188.051
4/1/2017,188.833
5/1/2017,189.742
6/1/2017,190.628
7/1/2017,191.576
8/1/2017,192.797
9/1/2017,193.849
10/1/2017,194.816
11/1/2017,195.881
12/1/2017,197.029
1/1/2018,198.159
2/1/2018,199.136
3/1/2018,200.067
4/1/2018,200.901
5/1/2018,201.7
